LASCO CME Y/M/D (UT),Disturbance Y/M/D (UT),Dst (nT)
1996/05/27 1500,1996/05/27 1500,-33
1996/07/01 1800,1996/07/01 1320,-20
1996/08/07 1200,1996/08/07 0600,-23
1996/12/19 1630 ,1996/12/23 1600,-18
1997/01/06 1510 ,1997/01/10 0104,-78
1997/02/07 0030 ,1997/02/09 1321,-68
1997/04/07 1427 ,1997/04/10 1745,-82
1997/04/21 1000,1997/04/21 0600,-107
1997/05/12 0530 ,1997/05/15 0159,-115
1997/05/21 2100,1997/05/26 0957,-74
1997/06/08 1800,1997/06/08 1636,-84
1997/06/19 0700,1997/06/19 0032,-36
1997/07/15 0800,1997/07/15 0311,-45
1997/07/30 0445 ,1997/08/03 1042,-48
1997/08/17 0600,1997/08/17 0200,-28
1997/08/30 0130 ,1997/09/03 0800,-98
1997/09/17 2028 ,1997/09/21 1651,-36
1997/09/28 0108 ,1997/10/01 0059,-98
1997/10/10 1100,1997/10/10 0300,-64
1997/10/06 1528,1997/10/10 1612,-130
1997/10/23 1126 ,1997/10/26 1200,-60
1997/11/04 0610 ,1997/11/06 2248,-110
1997/11/19 1700,1997/11/22 0949,-108
1997/11/24 0000,1997/11/23 1900,-47
1997/12/06 1027,1997/12/10 0526,-60
1997/12/26 0231,1997/12/30 0209,-77
1998/01/02 2328 ,1998/01/06 1416,-77
1998/01/09 0700,1998/01/09 0700,-28
1998/01/20 1700,1998/01/20 0000,-29
1998/01/17 0409 ,1998/01/21 0400,-11
1998/01/25 1526 ,1998/01/28 1600,-55
1998/02/04 0400,1998/02/04 0000,-34
1998/02/14 0655,1998/02/17 0400,-100
1998/02/19 0100,1998/02/18 0750,-51
1998/02/28 1248,1998/03/04 1156,-36
1998/03/25 1300,1998/03/25 1000,-56
1998/03/31 1100,1998/03/30 2200,-35
1998/04/11 2300,1998/04/11 2300,-46
1998/04/29 1658 ,1998/05/01 2156,-85
1998/05/02 1406 ,1998/05/04 0215,-205
1998/06/02 1000,1998/06/02 0800,-1
1998/06/14 0400,1998/06/13 1925,-55
1998/06/21 0535,1998/06/24 1000,-25
1998/06/26 0400,1998/06/25 1636,-101
1998/07/06 0600,1998/07/05 0315,-30
1998/07/11 0000,1998/07/10 2300,-35
1998/08/01 0400,1998/08/01 0400,-6
1998/08/05 1300,1998/08/05 1300,-138
1998/08/07 2300,1998/08/07 1100,-62
1998/08/10 1100,1998/08/10 0046,-27
1998/08/12 0100,1998/08/11 2300,-19
1998/08/20 0600,1998/08/19 1847,-67
1998/08/24 2200,1998/08/26 0651,-155
1998/09/23 0400,1998/09/23 0200,-33
1998/09/23 0700,1998/09/24 2345,-207
1998/10/15 1004 ,1998/10/18 1952,-112
1998/10/23 1500,1998/10/23 1230,-52
1998/11/04 0754 ,1998/11/07 0815,-81
1998/11/05 2044 ,1998/11/08 0451,-149
1998/11/09 1818,1998/11/13 0143,-131
1998/11/30 2100,1998/11/30 0507,-15
1998/12/29 1800,1998/12/28 1826,-58
1999/01/04 0400,1999/01/04 0000,-29
1999/01/13 1500,1999/01/13 1054,-112
1999/01/23 0900,1999/01/22 1950,-52
1999/02/13 1900,1999/02/13 1900,-17
1999/02/16 1500,1999/02/16 1500,-7
1999/02/17 1600,1999/02/17 0709,-34
1999/02/16 0312,1999/02/18 0246,-123
1999/03/10 1700,1999/03/10 0130,-81
1999/03/19 1100,1999/03/19 1000,-30
1999/04/13 0330 ,1999/04/16 1125,-91
1999/04/18 0830,1999/04/20 1600,-29
1999/05/15 1600,1999/05/15 1600,-13
1999/06/02 2300,1999/06/02 2000,-6
1999/06/24 1331 ,1999/06/26 2016,-41
1999/07/03 0500,1999/07/02 0059,-26
1999/07/03 1954,1999/07/06 1509,-4
1999/07/07 0700,1999/07/07 0600,-1
1999/07/23 2130,1999/07/26 2333,-38
1999/07/28 0530,1999/07/30 1600,-52
1999/07/28 0906,1999/07/31 1837,-39
1999/08/02 1500,1999/08/02 1100,-16
1999/08/08 2000,1999/08/08 1841,-47
1999/08/09 0326,1999/08/11 2300,-13
1999/08/17 1331,1999/08/20 2300,-66
1999/09/21 1200,1999/09/21 1200,-41
1999/09/20 0606,1999/09/22 1222,-173
1999/10/18 0006,1999/10/21 0225,-237
1999/11/12 1000,1999/11/11 1900,-69
1999/11/13 2000,1999/11/13 1200,-106
1999/11/22 0000,1999/11/22 0000,-41
1999/12/12 1900,1999/12/12 1551,-85
1999/12/14 0400,1999/12/13 2300,-33
1999/12/27 1100,1999/12/26 2130,-8
2000/01/18 1754,2000/01/22 0023,-97
2000/02/08 0930,2000/02/11 0258,-25
2000/02/10 0230,2000/02/11 2352,-133
2000/02/12 0431,2000/02/14 0731,-67
2000/02/17 2006,2000/02/20 2139,-26
2000/03/01 0300,2000/03/01 0130,-43
2000/03/19 0200,2000/03/18 2200,-3
2000/03/29 1900,2000/03/29 1100,-60
2000/04/04 1632,2000/04/06 1639,-288
2000/04/15 1035,2000/04/18 2000,-14
2000/04/24 0400,2000/04/24 0400,-61
2000/04/29 0430,2000/05/02 1045,-37
2000/05/07 0000,2000/05/07 0000,-10
2000/05/10 2006,2000/05/13 1700,-2
2000/05/15 1900,2000/05/15 1900,-32
2000/05/13 1226,2000/05/16 2300,-92
2000/05/20 1450,2000/05/22 1700,-10
2000/05/21 0726,2000/05/23 2342,-147
2000/05/31 0806,2000/06/04 1502,-35
2000/06/06 1554,2000/06/08 0910,-90
2000/06/11 0900,2000/06/11 0801,-36
2000/06/13 1200,2000/06/12 2208,-37
2000/06/18 0900,2000/06/18 0900,-12
2000/06/24 0000,2000/06/23 1303,-34
2000/06/26 1000,2000/06/26 0000,-76
2000/07/01 0900,2000/07/01 0100,-11
2000/07/07 1026,2000/07/10 0638,0
2000/07/11 2200,2000/07/11 1123,-26
2000/07/11 1327,2000/07/13 0942,-43
2000/07/14 1700,2000/07/14 1532,-57
2000/07/14 1054,2000/07/15 1437,-301
2000/07/17 0854,2000/07/19 1527,-93
2000/07/23 1500,2000/07/23 1041,-68
2000/07/23 0530,2000/07/26 1857,-42
