ICME EVENT START,ICME EVENT END,CME in LASCO,ICME TYPE,AR,SURFACE LOCATION,FLARE MAGNITUDE,FLARE ONSET TIME,SEEDS VEL C2,SEEDS VEL A,SEEDS VEL B,AVG. VEL.,VELOCITY,Transit time,DST PEAK,DST PEAK TIME,EJECTA START TIME,Quality Rating,In-Situ Link,C2 Link,COR2 Link,EIT/AIA Link
11/20/2007 00:00:00,11/20/2007 11:00:00,11/16/2007 08:50:00,EJ,-,N07 W04,-,-,160 km/s,-,253 km/s,474.8,462.8 km/s,87:10:00,-63,11/20/2007 21:00:00,11/20/2007 00:00:00,2,http://helio.gmu.edu/public/phess4/events2/2007111900/2007111900.html,http://spaceweather.gmu.edu/seeds/mkmovie.php?cme=20071116.082604.w071.v0160.p260&frame=11,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20071116&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20071116&img1=soh_e195&img2=lasc2rdf
12/17/2008 02:00:00,12/18/2008 15:00:00,12/12/2008 09:06:00,EJ,,N36 W10,-,-,-,259 km/s,306 km/s,366.58,323.8 km/s,112:54:00,-,-,12/17/2008 02:00:00,2,http://helio.gmu.edu/public/phess4/events2/2008121600/2008121600.html,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20081212,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20081212&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20081212&img1=soh_e195&img2=lasc2rdf
01/26/2009 05:00:00,01/26/2009 15:00:00,01/21/2009 21:08:00,EJ,-,-,-,-,114 km/s,-,303 km/s,398.46,347.7 km/s,103:52:00,-,-,01/26/2009 05:00:00,3,http://helio.gmu.edu/public/phess4/events2/2009012500/2009012500.html,http://spaceweather.gmu.edu/seeds/mkmovie.php?cme=20090121.193137.w036.v0114.p259&frame=18,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20090121&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20090121&img1=soh_e195&img2=lasc2rdf
02/03/2009 19:00:00,02/04/2009 16:00:00,01/31/2009 01:54:00,EJ,-,N06 E12,-,-,229 km/s,211 km/s,238 km/s,449.37,355.9 km/s,89:06:00,-48,02/04/2009 18:00:00,02/03/2009 22:00:00,3,http://helio.gmu.edu/public/phess4/events2/2009020200/2009020200.html,http://spaceweather.gmu.edu/seeds/mkmovie.php?cme=20090131.023003.w041.v0229.p080&frame=6,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20090131&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20090131&img1=soh_e195&img2=lasc2rdf
09/30/2009 06:00:00,09/30/2009 18:00:00,09/25/2009 08:06:00,EJ,11027,N24 W09,-,-,-,-,-,351.04,348.5 km/s,117:54:00,-,-,09/30/2009 06:00:00,3,http://helio.gmu.edu/public/phess4/events2/2009092900/2009092900.html,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20090925,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20090925&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20090925&img1=soh_e195&img2=lasc2rdf
10/29/2009 07:00:00,10/29/2009 22:00:00,10/23/2009 15:54:00,EJ,-,N09 E15,-,-,-,-,-,306.34,371.3 km/s,135:06:00,-,-,10/29/2009 07:00:00,1,http://helio.gmu.edu/public/phess4/events2/2009102800/2009102800.html,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20091023,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20091023&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20091023&img1=soh_e195&img2=lasc2rdf
11/14/2009 03:00:00,11/14/2009 23:00:00,11/09/2009 20:06:00,EJ,11030,N25 W52,-,-,-,271 km/s,-,402.21,311.2 km/s,102:54:00,-,-,11/14/2009 03:00:00,2,http://helio.gmu.edu/public/phess4/events2/2009111300/2009111300.html,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20091109,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20091109&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20091109&img1=soh_e195&img2=lasc2rdf
01/01/2010 22:00:00,01/03/2010 10:00:00,12/27/2009 21:30:00,EJ,11039,S26 E31,B8,12/27/2009 11:39:00,124 km/s,1010 km/s,2771 km/s,343.46,283.4 km/s,120:30:00,-,-,01/01/2010 22:00:00,1,http://helio.gmu.edu/public/phess4/events2/2010010100/2010010100.html,http://spaceweather.gmu.edu/seeds/mkmovie.php?cme=20091227.220603.w010.v0124.p267&frame=4,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20091227&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20091227&img1=soh_e195&img2=lasc2rdf
02/19/2010 15:00:00,02/22/2010 00:00:00,02/13/2010 19:54:00,EJ,11045,N19 W77,M1,02/13/2010 17:52:00,141 km/s,-,1308 km/s,297.53,404.6 km/s,139:06:00,-,-,02/19/2010 15:00:00,3,http://helio.gmu.edu/public/phess4/events2/2010021800/2010021800.html,http://spaceweather.gmu.edu/seeds/mkmovie.php?cme=20100213.195428.w098.v0141.p299&frame=18,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20100213&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20100213&img1=soh_e195&img2=lasc2rdf
03/10/2010 02:00:00,03/10/2010 10:00:00,03/06/2010 07:51:00,EJ,,N30 E30,-,-,318 km/s,828 km/s,626 km/s,459.09,406.4 km/s,90:09:00,-,-,03/10/2010 02:00:00,3,http://helio.gmu.edu/public/phess4/events2/2010030900/2010030900.html,http://spaceweather.gmu.edu/seeds/mkmovie.php?cme=20100306.082741.w085.v0318.p084&frame=4,http://spaceweather.gmu.edu/seeds/dailymkmovie.php?cme=20100306&cor2=ab,http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?date=20100306&img1=soh_e195&img2=lasc2rdf
