time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,note,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
2023-01-01T10:55Z,13.0,-139.0,22.0,395.0,S,True,2023-01-01T02:48:00-CME-001,Limited difference imagery available due to the faintness of this CME. Parameters obtained using best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery in SWPC_CAT.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,8.0,2023-01-01T15:18Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23088/-1
2023-01-02T19:53Z,-46.0,90.0,29.0,255.0,S,True,2023-01-02T06:00:00-CME-001,"Longitude based off of source eruption location. The eruption is near the west limb, and due to lack of a direct view, the longitude may vary by +/- 10 degrees.",M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,9.0,2023-01-02T14:32Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23100/-1
2023-01-03T09:51Z,-13.0,-131.0,53.0,1035.0,O,True,2023-01-03T06:36:00-CME-001,"Measurement based off source location and adjusted for best fit in SOHO LASCO C2/C3 imagery. No STEREO A COR2 imagery used due to data gap. The source location was beyond the limb of the Earth facing disk and no STEREO A EUVI 195 imagery was available, so there may be variation in the longitude of this measurement by +/- 10 degrees.",M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,26.0,2023-01-03T14:13Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23108/-1
2023-01-03T14:16Z,30.0,-119.0,20.0,827.0,C,True,2023-01-03T09:48:00-CME-001,Best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery in SWPC_CAT.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,16.0,2023-01-03T19:59Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23122/-1
2023-01-03T21:50Z,8.0,85.0,16.0,355.0,S,True,2023-01-03T11:36:00-CME-001,Measurement uses best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery in the coronagraphs.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,7.0,2023-01-03T19:07Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23116/-1
2023-01-04T03:10Z,-28.0,114.0,26.0,249.0,S,True,2023-01-03T14:00:00-CME-001,Measurement based on best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery in SWPC_CAT.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,10.0,2023-01-03T19:33Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23118/-1
2023-01-03T17:32Z,20.0,40.0,12.0,968.0,C,True,2023-01-03T14:12:00-CME-001,Measurement using SOHO LASCO C2/C3 and STEREO A COR2 in SWPC_CAT.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,14.0,2023-01-03T17:58Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23112/-1
2023-01-04T18:34Z,-36.0,-20.0,13.0,250.0,S,True,2023-01-04T05:00:00-CME-001,Measurement based on source location of potential source. CME is too faint to measure with SOHO LASCO C3.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,8.0,2023-01-04T18:05Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23135/-1
2023-01-04T16:11Z,3.0,106.0,17.0,512.0,C,True,2023-01-04T08:48:00-CME-001,"Analysis is based on the best fit in swpc_cat with 2 coronagraphs, based on the assumption that this is a backsided CME. (If we are mistaken about this, it would have the longitude of ~75 deg, based on a front-sided fit in swpc_cat).",M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2023-01-04T16:04Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23132/-1
2023-01-05T12:45Z,-43.0,163.0,32.0,368.0,S,True,2023-01-04T18:00:00-CME-001,Based on best fit in swpc_cat in 2 coronagraphs,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2023-01-05T14:24Z,1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/23140/-1
